program_id,category,term,term_id,description,fdr,p_value,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes
82,KEGG,mmu04612,NA,Antigen processing and presentation,0.0064,0.00062,6,75,10090,Ctsb|Ctss|Lgmn|Cd4|Cd74|Ctsl
82,Process,GO:0002637,NA,Regulation of immunoglobulin production,0.0066,0.00021,7,87,10090,Cd28|Fcgr2b|Cd37|Sash3|Btk|Cd86|Ptprc
82,Process,GO:0006959,NA,Humoral immune response,0.0068,0.00022,12,260,10090,Cfp|C3|C2|Tslp|Alox5|Pf4|C1qc|C1qb|C1rl|C1qa|Gpr183|Rnase6
82,Process,GO:0007159,NA,Leukocyte cell-cell adhesion,0.0068,0.00022,6,61,10090,Cd44|Rac2|Fermt3|Itgam|Ptprc|Cx3cr1
82,Process,GO:0045619,NA,Regulation of lymphocyte differentiation,0.0068,0.00022,11,221,10090,Ptpn6|Cd44|Runx1|Cd28|Sash3|Nckap1l|Card11|Cd74|Nlrp3|Ptprc|Il18
82,Process,GO:0051048,NA,Negative regulation of secretion,0.0068,0.00022,11,221,10090,Spi1|Pde3b|Nckap1l|Ptgs1|Cd74|Cd300a|Idh2|Myo5a|Cd84|Apoe|P2ry12
82,Process,GO:0090023,NA,Positive regulation of neutrophil chemotaxis,0.0068,0.00022,5,38,10090,Nckap1l|Rac2|C3ar1|Cd74|C5ar1
82,Process,GO:1904646,NA,Cellular response to amyloid-beta,0.0068,0.00022,5,38,10090,Lgmn|Fcgr2b|Lrp1|Igf1|Trem2
82,Process,GO:0036037,NA,"CD8-positive, alpha-beta T cell activation",0.0071,0.00023,4,20,10090,Clec4a2|Wdfy4|Clec4a1|Clec4a3
82,Process,GO:0042554,NA,Superoxide anion generation,0.0071,0.00023,4,20,10090,Cybb|Cyba|Ncf4|Ncf2
82,Process,GO:0046633,NA,Alpha-beta T cell proliferation,0.0071,0.00023,4,20,10090,Cd28|Card11|Dock2|Ptprc
82,Process,GO:0062013,NA,Positive regulation of small molecule metabolic process,0.0071,0.00023,10,186,10090,Mlxipl|Irs2|P2ry6|Guca1a|Abcd2|Ptafr|Cd74|Igf1|Trem2|Apoe
82,Process,GO:0001820,NA,Serotonin secretion,0.0072,0.00023,3,7,10090,Fcer1g|Cd300a|Fcgr3
82,Process,GO:1900223,NA,Positive regulation of amyloid-beta clearance,0.0072,0.00023,3,7,10090,Lrp1|Trem2|Apoe
82,KEGG,mmu05418,NA,Fluid shear stress and atherosclerosis,0.0073,0.00073,8,142,10090,Ccl2|Ccl12|Sdc4|Cyba|Rac2|Pik3cd|Ncf2|Ctsl
82,KEGG,mmu04625,NA,C-type lectin receptor signaling pathway,0.0074,0.00076,7,109,10090,Pak1|Pycard|Fcer1g|Nlrp3|Pik3cd|Lsp1|Cd209f
82,Process,GO:0045580,NA,Regulation of T cell differentiation,0.008,0.00026,10,189,10090,Cd44|Runx1|Cd28|Sash3|Nckap1l|Card11|Cd74|Nlrp3|Ptprc|Il18
82,Process,GO:0001516,NA,Prostaglandin biosynthetic process,0.0082,0.00027,4,21,10090,Tbxas1|Hpgds|Ptgs1|Cd74
82,Process,GO:0002923,NA,Regulation of humoral immune response mediated by circulating immunoglobulin,0.0082,0.00027,4,21,10090,Ptpn6|Fcgr2b|Trem2|Ptprc
82,Process,GO:0030852,NA,Regulation of granulocyte differentiation,0.0082,0.00027,4,21,10090,Hcls1|Runx1|C1qc|Ikzf1
82,Process,GO:0061081,NA,Positive regulation of myeloid leukocyte cytokine production involved in immune response,0.0082,0.00027,5,40,10090,Pycard|Fcer1g|Cd74|Tlr7|Laptm5
82,Process,GO:1903531,NA,Negative regulation of secretion by cell,0.0085,0.00029,10,191,10090,Spi1|Pde3b|Nckap1l|Ptgs1|Cd300a|Idh2|Myo5a|Cd84|Apoe|P2ry12
82,Process,GO:0002286,NA,T cell activation involved in immune response,0.0086,0.00029,7,92,10090,Apbb1ip|Irf4|Slc11a1|Sema4a|Gpr183|Fcer1g|Cd74
82,Process,GO:0032649,NA,Regulation of interferon-gamma production,0.0088,0.0003,8,123,10090,Runx1|Slc11a1|Pycard|Sash3|Irf8|Tlr7|Laptm5|Il18
82,Process,GO:0036006,NA,Cellular response to macrophage colony-stimulating factor stimulus,0.0094,0.00032,3,8,10090,Ccl2|Dok1|Csf1r
82,Process,GO:0001909,NA,Leukocyte mediated cytotoxicity,0.0096,0.00033,6,66,10090,Ptpn6|Fcgr1|Ctsc|Coro1a|Fcgr3|Il18
82,Process,GO:0033006,NA,Regulation of mast cell activation involved in immune response,0.0097,0.00033,5,42,10090,Ptpn6|Rac2|Fcer1g|Cd300a|Cd84
82,Process,GO:0050678,NA,Regulation of epithelial cell proliferation,0.0097,0.00033,16,445,10090,Ccl2|Ccl12|Ccl24|Cyba|Arg1|Egfr|Alox5|Btk|Irs2|Grn|Igf1|Pik3cd|C5ar1|Apoe|Il18|Ctsl
82,Process,GO:0050853,NA,B cell receptor signaling pathway,0.0106,0.00037,5,43,10090,Ptpn6|Btk|Nckap1l|Blnk|Ptprc
82,Process,GO:0032693,NA,Negative regulation of interleukin-10 production,0.0107,0.00037,4,23,10090,Fcgr2b|Tyrobp|Btk|Cd84
82,Process,GO:0097202,NA,Activation of cysteine-type endopeptidase activity,0.0107,0.00037,4,23,10090,Lgmn|Pycard|Ifi207|Ifi204
82,Process,GO:0030336,NA,Negative regulation of cell migration,0.0109,0.00038,13,318,10090,Ccl2|Ccl12|Arhgdib|Lrp1|Cd74|Cd300a|Idh2|Ccr5|Apoe|Aif1|Cx3cr1|Cd63|Emilin2
82,Process,GO:0050830,NA,Defense response to Gram-positive bacterium,0.0114,0.0004,9,163,10090,Hck|Rnase4|Pycard|Lyz2|Nlrp3|Mpeg1|C5ar1|Il18|Rnase6
82,Process,GO:0021782,NA,Glial cell development,0.0115,0.0004,8,129,10090,Egfr|Lrp1|Grn|C1qa|Itgam|Trem2|Csf1r|C5ar1
82,Process,GO:0097028,NA,Dendritic cell differentiation,0.0116,0.0004,5,44,10090,Spi1|Irf4|Irf8|Pirb|Trem2
82,Process,GO:1901136,NA,Carbohydrate derivative catabolic process,0.0118,0.00041,9,164,10090,Cd44|Aoah|Hexb|Hexa|Lyve1|Btk|Npl|Gnpda1|Ctsl
82,Process,GO:0007568,NA,Aging,0.0119,0.00042,10,201,10090,Ccl2|Cd68|Arg1|Gfra1|Ctsc|C1qa|Ifi27l2a|Cd163|Apoe|Ctsl
82,Process,GO:0045807,NA,Positive regulation of endocytosis,0.0119,0.00042,8,130,10090,C3|Fcgr1|Nckap1l|Lrp1|Pcsk9|Trem2|Apoe|Cd63
82,Process,GO:0033033,NA,Negative regulation of myeloid cell apoptotic process,0.0121,0.00043,4,24,10090,Fcgr2b|Fcer1g|Ccr5|Il18
82,KEGG,mmu00590,NA,Arachidonic acid metabolism,0.0121,0.0013,6,87,10090,Tbxas1|Cbr2|Alox5|Hpgds|Ptgs1|Ltc4s
82,Process,GO:0007204,NA,Positive regulation of cytosolic calcium ion concentration,0.0124,0.00044,11,241,10090,Cd52|Ccl3|Cd4|Ccr1|Cib2|Lrp1|C3ar1|Gna15|Ccr5|C5ar1|Cx3cr1
82,KEGG,mmu05163,NA,Human cytomegalovirus infection,0.0129,0.0014,10,237,10090,Ccl2|Ccl12|Ccl3|Egfr|Ccr1|Il10ra|Rac2|Gng10|Pik3cd|Ccr5
82,Process,GO:0000165,NA,MAPK cascade,0.0131,0.00047,10,204,10090,Ccl2|Ccl12|Ccl3|Ptpn6|Slc11a1|Bank1|Igf1|Tlr7|Ptprc|Il18
82,Process,GO:1901224,NA,Positive regulation of NIK/NF-kappaB signaling,0.0131,0.00047,6,71,10090,Egfr|Cd86|Tlr7|Trem2|Laptm5|Il18
82,KEGG,mmu00604,NA,Glycosphingolipid biosynthesis - ganglio series,0.0133,0.0015,3,15,10090,B4galnt1|Hexb|Hexa
82,Process,GO:0002221,NA,Pattern recognition receptor signaling pathway,0.0137,0.00049,7,101,10090,Cd180|Pycard|Pik3ap1|Cd86|Nlrp3|Tlr7|Unc93b1
82,Process,GO:0034121,NA,Regulation of toll-like receptor signaling pathway,0.0149,0.00054,6,73,10090,Cyba|Irf4|Ninj1|Pik3ap1|Cd300a|Trem2
82,Process,GO:0006907,NA,Pinocytosis,0.015,0.00054,3,10,10090,Pycard|Dock2|Snx5
82,Process,GO:1902565,NA,Positive regulation of neutrophil activation,0.015,0.00054,3,10,10090,Il16|Itgam|Ptafr
82,Process,GO:2000646,NA,Positive regulation of receptor catabolic process,0.015,0.00054,3,10,10090,Pcsk9|Laptm5|Apoe
82,Process,GO:0051897,NA,Positive regulation of protein kinase B signaling,0.0153,0.00056,8,136,10090,Egfr|Hcls1|Cd28|Igf1|Pik3cd|P2ry12|Cx3cr1|Il18
82,Process,GO:0010759,NA,Positive regulation of macrophage chemotaxis,0.0154,0.00056,4,26,10090,Ccl2|C3ar1|Csf1r|C5ar1
82,Process,GO:0050878,NA,Regulation of body fluid levels,0.0156,0.00057,14,377,10090,Hk2|Ptpn6|Cyba|Egfr|C3|Pf4|Fermt3|F13a1|Ptpro|Plek|Apoe|P2ry12|Il18|Emilin2
82,Process,GO:0036336,NA,Dendritic cell migration,0.0174,0.00064,4,27,10090,Asb2|Dock8|Alox5|Gpr183
82,Process,GO:0110053,NA,Regulation of actin filament organization,0.0174,0.00064,12,294,10090,Ccl24|Sdc4|Pdlim4|Hcls1|Pak1|Pycard|Was|Cotl1|Nckap1l|Plek|Coro1a|Gmfg
82,Process,GO:0006690,NA,Icosanoid metabolic process,0.0181,0.00067,8,140,10090,Tbxas1|Alox5|Hpgds|Hpgd|Ptgs1|Alox5ap|Cd74|Ltc4s
82,Process,GO:0032940,NA,Secretion by cell,0.0185,0.00068,15,430,10090,Ccl3|Hck|Syngr1|Ccr1|Pak1|Btk|Fcer1g|Milr1|Slc16a10|Plek|Coro1a|Cd300a|Rab3il1|Myo5a|Fcgr3
82,Process,GO:0033007,NA,Negative regulation of mast cell activation involved in immune response,0.0185,0.00069,3,11,10090,Ptpn6|Cd300a|Cd84
82,Process,GO:0006693,NA,Prostaglandin metabolic process,0.0187,0.00069,5,50,10090,Tbxas1|Hpgds|Hpgd|Ptgs1|Cd74
82,Process,GO:0001936,NA,Regulation of endothelial cell proliferation,0.0187,0.0007,9,177,10090,Ccl2|Ccl12|Ccl24|Cyba|Arg1|Alox5|Igf1|Pik3cd|Apoe
82,Process,GO:0042104,NA,Positive regulation of activated T cell proliferation,0.0193,0.00072,4,28,10090,Pycard|Cd86|Igf1|Il18
82,Process,GO:0001906,NA,Cell killing,0.0195,0.00073,8,142,10090,Ptpn6|C3|Fcgr1|Ctsc|Lyz2|Coro1a|Fcgr3|Il18
82,Process,GO:0008347,NA,Glial cell migration,0.0201,0.00075,5,51,10090,Ccl2|Ccl12|Ccl3|Hexb|P2ry12
82,Process,GO:0046640,NA,Regulation of alpha-beta T cell proliferation,0.0201,0.00075,5,51,10090,Cd44|Cd28|Card11|Ptprc|Il18
82,Process,GO:0031295,NA,T cell costimulation,0.0215,0.00081,4,29,10090,Cd28|Card11|Lgals1|Cd86
82,Process,GO:0060907,NA,Positive regulation of macrophage cytokine production,0.0215,0.00081,4,29,10090,Pycard|Cd74|Tlr7|Laptm5
82,Process,GO:0070527,NA,Platelet aggregation,0.0215,0.00081,4,29,10090,Ptpn6|Fermt3|Plek|P2ry12
82,Process,GO:0150077,NA,Regulation of neuroinflammatory response,0.0215,0.00081,4,29,10090,Ctsc|Grn|Igf1|Trem2
82,Process,GO:0043370,NA,"Regulation of CD4-positive, alpha-beta T cell differentiation",0.0215,0.00082,5,52,10090,Runx1|Sash3|Nckap1l|Nlrp3|Il18
82,KEGG,mmu04520,NA,Adherens junction,0.0217,0.0025,5,68,10090,Ptpn6|Nectin4|Egfr|Was|Rac2
82,Process,GO:0002604,NA,Regulation of dendritic cell antigen processing and presentation,0.0223,0.00085,3,12,10090,Cd68|Slc11a1|Cd74
82,Process,GO:0019370,NA,Leukotriene biosynthetic process,0.0223,0.00085,3,12,10090,Alox5|Alox5ap|Ltc4s
82,Process,GO:0030854,NA,Positive regulation of granulocyte differentiation,0.0223,0.00085,3,12,10090,Hcls1|Runx1|Ikzf1
82,Process,GO:0043313,NA,Regulation of neutrophil degranulation,0.0223,0.00085,3,12,10090,Spi1|Itgam|Ptafr
82,Process,GO:0046598,NA,Positive regulation of viral entry into host cell,0.0223,0.00085,3,12,10090,Cd4|Lgals1|Cd74
82,Process,GO:1900272,NA,Negative regulation of long-term synaptic potentiation,0.0223,0.00085,3,12,10090,Tyrobp|Apoe|Cx3cr1
82,KEGG,mmu05230,NA,Central carbon metabolism in cancer,0.0224,0.0026,5,69,10090,Hk2|Egfr|Hk3|Pik3cd|Idh2
82,Process,GO:0002244,NA,Hematopoietic progenitor cell differentiation,0.0225,0.00087,8,146,10090,Spi1|Ptpn6|Tnfrsf13b|Runx1|Pld4|Plek|Csf1r|Ptprc
82,Process,GO:0045089,NA,Positive regulation of innate immune response,0.0225,0.00087,8,146,10090,Spi1|Vav1|Tyrobp|Pycard|Ifi207|Ifi209|Cd74|Ifi204
82,Process,GO:0045124,NA,Regulation of bone resorption,0.0229,0.00088,5,53,10090,Egfr|Tmem119|Fcgr4|Spp1|Csf1r
82,Process,GO:0046638,NA,Positive regulation of alpha-beta T cell differentiation,0.0229,0.00088,5,53,10090,Runx1|Sash3|Nckap1l|Nlrp3|Il18
82,Process,GO:0033630,NA,Positive regulation of cell adhesion mediated by integrin,0.0235,0.00091,4,30,10090,Ptpn6|Nckap1l|Skap1|P2ry12
82,Process,GO:0042119,NA,Neutrophil activation,0.0235,0.00091,4,30,10090,Tyrobp|Fcgr4|Fcer1g|Il18
82,Process,GO:0046641,NA,Positive regulation of alpha-beta T cell proliferation,0.0235,0.00091,4,30,10090,Cd28|Card11|Ptprc|Il18
82,Process,GO:0009615,NA,Response to virus,0.024,0.00094,13,352,10090,Npc2|Pycard|Ifi207|Ifi27l2a|Wdfy4|Cd86|Nlrp3|Pou2f2|Ifi204|Tlr7|Unc93b1|Ptprc|Rnase6
82,Process,GO:0043367,NA,"CD4-positive, alpha-beta T cell differentiation",0.0244,0.00096,5,54,10090,Irf4|Sema4a|Sash3|Gpr183|Ctsl
82,Process,GO:0001788,NA,Antibody-dependent cellular cytotoxicity,0.0247,0.00097,2,2,10090,Fcgr1|Fcgr3
82,Process,GO:0002540,NA,Leukotriene production involved in inflammatory response,0.0247,0.00097,2,2,10090,Alox5|Alox5ap
82,Process,GO:0002588,NA,Positive regulation of antigen processing and presentation of peptide antigen via MHC class II,0.0247,0.00097,2,2,10090,Pycard|Trem2
82,Process,GO:0110090,NA,Positive regulation of hippocampal neuron apoptotic process,0.0247,0.00097,2,2,10090,Tyrobp|Itgam
82,Process,GO:0160006,NA,Fc receptor-mediated immune complex endocytosis,0.0247,0.00097,2,2,10090,Fcgr2b|Fcgr4
82,Process,GO:1904075,NA,Positive regulation of trophectodermal cell proliferation,0.0247,0.00097,2,2,10090,Grn|Igf1
82,Process,GO:1904300,NA,Positive regulation of transcytosis,0.0247,0.00097,2,2,10090,Lrp1|Ptafr
82,Process,GO:0006633,NA,Fatty acid biosynthetic process,0.0254,0.001,7,115,10090,Tbxas1|Alox5|Hpgds|Ptgs1|Cd74|Ltc4s|Myo5a
82,Process,GO:0010001,NA,Glial cell differentiation,0.0254,0.001,10,227,10090,Egfr|Lrp1|Grn|C1qa|Itgam|Igf1|Trem2|Csf1r|Casz1|C5ar1
82,Process,GO:0072678,NA,T cell migration,0.0254,0.001,4,31,10090,Ccl2|Ccl3|Gpr183|Coro1a
82,Process,GO:1905477,NA,Positive regulation of protein localization to membrane,0.0254,0.001,7,115,10090,Ccl2|Egfr|Pak1|Lrp1|Itgam|Trem2|Myo5a
82,Process,GO:0002823,NA,Negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0.0255,0.001,5,55,10090,Ptpn6|Arg1|Fcgr2b|Nckap1l|Ptprc
82,Process,GO:0033625,NA,Positive regulation of integrin activation,0.0256,0.001,3,13,10090,Skap1|Plek|P2ry12
82,Process,GO:0071318,NA,Cellular response to ATP,0.0256,0.001,3,13,10090,Ccl2|Cib2|P2ry12
82,Process,GO:1903028,NA,Positive regulation of opsonization,0.0256,0.001,3,13,10090,Cfp|C3|C2
82,Process,GO:0001678,NA,Cellular glucose homeostasis,0.0262,0.0011,7,116,10090,Ccl2|Hk2|Mlxipl|Cyba|Irs2|Hk3|Igf1
82,Process,GO:0032870,NA,Cellular response to hormone stimulus,0.0266,0.0011,16,499,10090,Ccl2|Ebi3|Ctsb|Ctss|Cyba|Arg1|Egfr|Pde3b|Pak1|Irs2|P2ry6|Pcsk9|Igf1|Myo5a|Ncf2|Il18
82,Process,GO:0033628,NA,Regulation of cell adhesion mediated by integrin,0.0272,0.0011,5,56,10090,Ptpn6|Nckap1l|Fermt3|Skap1|P2ry12
82,Process,GO:1902903,NA,Regulation of supramolecular fiber organization,0.0272,0.0011,14,405,10090,Ccl24|Sdc4|Pdlim4|Hcls1|Pak1|Pycard|Was|Cotl1|Nckap1l|Plek|Coro1a|Gmfg|Trem2|Apoe
82,KEGG,mmu00524,NA,"Neomycin, kanamycin and gentamicin biosynthesis",0.0274,0.0033,2,5,10090,Hk2|Hk3
82,Process,GO:0043372,NA,"Positive regulation of CD4-positive, alpha-beta T cell differentiation",0.0275,0.0011,4,32,10090,Sash3|Nckap1l|Nlrp3|Il18
82,Process,GO:0051279,NA,Regulation of release of sequestered calcium ion into cytosol,0.0276,0.0011,6,85,10090,Ptpn6|Cyba|Jph3|P2ry6|Coro1a|Myo5a
82,Process,GO:0030168,NA,Platelet activation,0.029,0.0012,5,57,10090,Ptpn6|Pf4|Fermt3|Plek|P2ry12
82,Process,GO:0042531,NA,Positive regulation of tyrosine phosphorylation of STAT protein,0.029,0.0012,5,57,10090,Hcls1|Tslp|Igf1|Csf1r|Il18
82,Process,GO:0043030,NA,Regulation of macrophage activation,0.029,0.0012,5,57,10090,Ctsc|Grn|Cebpa|Trem2|Cd84
82,Process,GO:0048017,NA,Inositol lipid-mediated signaling,0.029,0.0012,6,86,10090,Adap2|Cd28|Ptafr|Igf1|Pik3cd|Csf1r
82,KEGG,mmu04973,NA,Carbohydrate digestion and absorption,0.029,0.0036,4,45,10090,Hk2|Slc2a5|Hk3|Pik3cd
82,Process,GO:0006002,NA,Fructose 6-phosphate metabolic process,0.0299,0.0012,3,14,10090,Hk2|Hk3|Gnpda1
82,Process,GO:0007567,NA,Parturition,0.0299,0.0012,3,14,10090,Ccl2|Hpgd|Ptafr
82,Process,GO:0045059,NA,Positive thymic T cell selection,0.0299,0.0012,3,14,10090,Dock2|Cd74|Ptprc
82,Process,GO:0051896,NA,Regulation of protein kinase B signaling,0.0299,0.0012,9,193,10090,Egfr|Hcls1|Cd28|Bank1|Igf1|Pik3cd|P2ry12|Cx3cr1|Il18
82,Process,GO:0002262,NA,Myeloid cell homeostasis,0.0299,0.0013,8,155,10090,Ccl2|Spi1|Hcls1|Btk|Nckap1l|Itgam|Ikzf1|Fcer1g
82,Process,GO:0002828,NA,Regulation of type 2 immune response,0.0299,0.0013,4,33,10090,Arg1|Cd74|Nlrp3|Il18
82,Process,GO:0010574,NA,Regulation of vascular endothelial growth factor production,0.0299,0.0013,4,33,10090,Ccl2|C3|C3ar1|C5ar1
82,Process,GO:0045055,NA,Regulated exocytosis,0.0299,0.0013,8,155,10090,Ccl3|Syngr1|Btk|Fcer1g|Milr1|Plek|Coro1a|Cd300a
82,Process,GO:0031638,NA,Zymogen activation,0.0301,0.0013,6,87,10090,Lgmn|Pycard|C1rl|Ifi207|Ifi204|Ctsl
82,Process,GO:1900015,NA,Regulation of cytokine production involved in inflammatory response,0.0304,0.0013,5,58,10090,Alox5|Pycard|Pld4|Abcd2|Trem2
82,KEGG,mmu04066,NA,HIF-1 signaling pathway,0.0307,0.0039,6,110,10090,Hk2|Cybb|Egfr|Hk3|Igf1|Pik3cd
82,Process,GO:0034764,NA,Positive regulation of transmembrane transport,0.0326,0.0014,11,279,10090,Ccl2|Ctss|Cd4|C3|Alox5|Irs2|P2ry6|Ptafr|Igf1|Trem2|Myo5a
82,Process,GO:0043524,NA,Negative regulation of neuron apoptotic process,0.0334,0.0014,9,197,10090,Ccl2|Ccl12|Lgmn|Lrp1|Grn|Coro1a|C5ar1|Apoe|Cx3cr1
82,Process,GO:0032535,NA,Regulation of cellular component size,0.0338,0.0015,14,417,10090,Ccl24|Vav1|Hcls1|Sema4a|Pak1|Pycard|Was|Cotl1|Nckap1l|Lrp1|Plek|Coro1a|Ccr5|Apoe
82,Process,GO:0007596,NA,Blood coagulation,0.0343,0.0015,7,123,10090,Ptpn6|C3|Pf4|Fermt3|F13a1|Plek|P2ry12
82,KEGG,mmu04930,NA,Type II diabetes mellitus,0.0343,0.0044,4,48,10090,Hk2|Irs2|Hk3|Pik3cd
82,KEGG,mmu04979,NA,Cholesterol metabolism,0.0343,0.0044,4,48,10090,Npc2|Lrp1|Pcsk9|Apoe
82,Process,GO:0006590,NA,Thyroid hormone generation,0.0344,0.0015,3,15,10090,Ctsb|Slc16a10|Ctsl
82,Process,GO:0030316,NA,Osteoclast differentiation,0.0344,0.0015,5,60,10090,Tyrobp|Gpr183|Fcer1g|Trem2|Csf1r
82,Process,GO:0032494,NA,Response to peptidoglycan,0.0344,0.0015,3,15,10090,Nlrp3|Trem2|C5ar1
82,Process,GO:0032677,NA,Regulation of interleukin-8 production,0.0344,0.0015,6,90,10090,Cd33|Pycard|Cd74|Tlr7|Ptprc|Il18
82,Process,GO:0150079,NA,Negative regulation of neuroinflammatory response,0.0344,0.0015,3,15,10090,Grn|Igf1|Trem2
82,Process,GO:1900426,NA,Positive regulation of defense response to bacterium,0.0344,0.0015,3,15,10090,Cyba|Grn|Emilin2
82,Process,GO:1905952,NA,Regulation of lipid localization,0.035,0.0015,9,199,10090,Runx1|C3|Msr1|Irs2|Lrp1|Pcsk9|Spp1|Trem2|Apoe
82,Process,GO:0034122,NA,Negative regulation of toll-like receptor signaling pathway,0.0352,0.0015,4,35,10090,Irf4|Pik3ap1|Cd300a|Trem2
82,Process,GO:1904062,NA,Regulation of cation transmembrane transport,0.0354,0.0015,14,420,10090,Ccl2|Ptpn6|Ctss|Cyba|Arg1|Cd4|Jph3|Alox5|P2ry6|Pcsk9|Coro1a|Trem2|Myo5a|Cd63
82,Process,GO:0051930,NA,Regulation of sensory perception of pain,0.0362,0.0016,5,61,10090,Ccl3|Ctss|Fcgr1|Ptafr|Fcgr4
82,Process,GO:0002277,NA,Myeloid dendritic cell activation involved in immune response,0.0364,0.0016,2,3,10090,Pycard|Dock2
82,Process,GO:0002316,NA,Follicular B cell differentiation,0.0364,0.0016,2,3,10090,Spi1|Irf8
82,Process,GO:0010952,NA,Positive regulation of peptidase activity,0.0364,0.0016,9,201,10090,Lgmn|Ctsc|Pycard|Grn|Ifi207|Nlrp3|Ifi204|Laptm5|Ctsd
82,Process,GO:0032805,NA,Positive regulation of low-density lipoprotein particle receptor catabolic process,0.0364,0.0016,2,3,10090,Pcsk9|Apoe
82,Process,GO:0038145,NA,Macrophage colony-stimulating factor signaling pathway,0.0364,0.0016,2,3,10090,Dok1|Csf1r
82,Process,GO:0045582,NA,Positive regulation of T cell differentiation,0.0364,0.0016,7,125,10090,Runx1|Sash3|Nckap1l|Cd74|Nlrp3|Ptprc|Il18
82,Process,GO:1903615,NA,Positive regulation of protein tyrosine phosphatase activity,0.0364,0.0016,2,3,10090,Cd33|Ptprc
82,Process,GO:1904845,NA,Cellular response to L-glutamine,0.0364,0.0016,2,3,10090,Cybb|Cyba
82,Process,GO:1905954,NA,Positive regulation of lipid localization,0.0364,0.0016,7,125,10090,Runx1|C3|Msr1|Lrp1|Spp1|Trem2|Apoe
82,Process,GO:2000502,NA,Negative regulation of natural killer cell chemotaxis,0.0364,0.0016,2,3,10090,Ccl2|Ccl12
82,KEGG,mmu04510,NA,Focal adhesion,0.0368,0.005,8,196,10090,Vav1|Egfr|Pak1|Rac2|Itgb5|Spp1|Igf1|Pik3cd
82,Process,GO:0071331,NA,Cellular response to hexose stimulus,0.0372,0.0017,6,92,10090,Ccl2|Mlxipl|Cyba|Slc2a5|Irs2|Igf1
82,Process,GO:0009746,NA,Response to hexose,0.0377,0.0017,8,163,10090,Ccl2|Mlxipl|Cyba|Slc2a5|Irs2|Igf1|Ncf2|Ctsl
82,Process,GO:0050732,NA,Negative regulation of peptidyl-tyrosine phosphorylation,0.0377,0.0017,5,62,10090,Ptpn6|Igf1|Cd300a|Ptprc|Il18
82,Process,GO:0030644,NA,Cellular chloride ion homeostasis,0.0386,0.0017,3,16,10090,Ckb|Tbxas1|Spp1
82,Process,GO:1903978,NA,Regulation of microglial cell activation,0.0386,0.0017,3,16,10090,Ctsc|Grn|Trem2
82,Process,GO:0003013,NA,Circulatory system process,0.0392,0.0018,15,475,10090,Scpep1|Tbxas1|Cyba|Egfr|Alox5|Slc2a5|Lrp1|C3ar1|Ptgs1|Ptafr|Ptpro|Snx5|Apoe|Ncf2|Il18
82,Process,GO:0002218,NA,Activation of innate immune response,0.04,0.0018,5,63,10090,Tyrobp|Pycard|Ifi207|Ifi209|Ifi204
82,Process,GO:0030865,NA,Cortical cytoskeleton organization,0.04,0.0018,5,63,10090,Nckap1l|Rac2|Fmnl1|Epb41l3|Plek
82,Process,GO:0010922,NA,Positive regulation of phosphatase activity,0.0406,0.0019,4,37,10090,Cd33|Plek|Cd300a|Ptprc
82,KEGG,mmu05144,NA,Malaria,0.0417,0.0058,4,52,10090,Ccl2|Ccl12|Lrp1|Il18
82,Process,GO:0002707,NA,Negative regulation of lymphocyte mediated immunity,0.0422,0.0019,5,64,10090,Ptpn6|Arg1|Fcgr2b|Nckap1l|Ptprc
82,Process,GO:0051047,NA,Positive regulation of secretion,0.0432,0.002,14,432,10090,Cd33|Sdc4|Cyba|Egfr|Runx1|Irs2|Lrp1|Itgam|Ptafr|Fcer1g|Spp1|Igf1|Snx5|Trem2
82,Process,GO:0002724,NA,Regulation of T cell cytokine production,0.044,0.002,4,38,10090,Arg1|Sash3|Nlrp3|Il18
82,Process,GO:0002903,NA,Negative regulation of B cell apoptotic process,0.044,0.002,3,17,10090,Cd44|Irs2|Cd74
82,Process,GO:0007613,NA,Memory,0.044,0.002,8,168,10090,Lgmn|Jph3|Chst10|Ptgs1|Igf1|Trem2|Apoe|Cx3cr1
82,Process,GO:0010919,NA,Regulation of inositol phosphate biosynthetic process,0.044,0.002,3,17,10090,P2ry6|Ptafr|Plek
82,Process,GO:0030866,NA,Cortical actin cytoskeleton organization,0.044,0.002,4,38,10090,Nckap1l|Fmnl1|Epb41l3|Plek
82,Process,GO:0043304,NA,Regulation of mast cell degranulation,0.044,0.002,4,38,10090,Rac2|Fcer1g|Cd300a|Cd84
82,Process,GO:0071402,NA,Cellular response to lipoprotein particle stimulus,0.044,0.002,4,38,10090,Ccl2|Cd68|Fcer1g|Trem2
82,Process,GO:0097190,NA,Apoptotic signaling pathway,0.0449,0.0021,12,340,10090,Spi1|Cd28|Tyrobp|Pycard|Ifi207|Ifi27l2a|Bcl2a1b|Itgam|Igf1|Ifi204|Ptprc|Il18
82,KEGG,mmu05235,NA,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.0451,0.0064,5,86,10090,Ptpn6|Egfr|Cd4|Cd28|Pik3cd
82,Process,GO:0035306,NA,Positive regulation of dephosphorylation,0.0469,0.0022,5,66,10090,Cd33|Pirb|Plek|Cd300a|Ptprc
